country,target_iso3,analysis_scope,n_mentions,n_speeches,n_speakers,first_year,last_year,mean_concreteness,mean_sentiment
SWE,GBR,reciprocal_asymmetry_candidate,123,74,42,2015,2022,3.1939512195121953,2.3737560918145792
BEL,AUT,reciprocal_asymmetry_candidate,122,92,32,2015,2022,3.2450573770491804,1.913245901495951
CZE,POL,reciprocal_asymmetry_candidate,120,78,37,2015,2022,3.2370916666666667,1.6915166623230713
AUT,SWE,reciprocal_asymmetry_candidate,116,88,45,2015,2022,3.2501293103448274,1.765827593072478
SWE,FIN,reciprocal_asymmetry_candidate,116,94,55,2015,2022,3.2431724137931037,2.206232759266578
PRT,UKR,reciprocal_asymmetry_candidate,116,62,38,2015,2022,3.2023448275862068,1.985982761983278
SVN,BIH,reciprocal_asymmetry_candidate,116,84,38,2015,2021,3.2853793103448274,1.4266206874544252
GRC,GBR,reciprocal_asymmetry_candidate,112,80,50,2015,2022,3.210473214285714,1.4422410692953105
BIH,SRB,reciprocal_asymmetry_candidate,111,60,36,2015,2021,3.2744684684684686,1.8226486532067931
NLD,AUT,reciprocal_asymmetry_candidate,110,92,40,2015,2022,3.2708545454545455,1.92356363133612
SVN,SRB,reciprocal_asymmetry_candidate,108,80,36,2015,2022,3.2664537037037036,1.922481494679771
PRT,GBR,reciprocal_asymmetry_candidate,107,56,33,2015,2022,3.23407476635514,1.9188224330161499
ISL,HUN,reciprocal_asymmetry_candidate,106,64,23,2015,2022,3.2389056603773585,1.1435754747252982
ISL,ITA,reciprocal_asymmetry_candidate,105,63,27,2015,2022,3.2457714285714285,1.121371429449036
EST,GBR,reciprocal_asymmetry_candidate,105,63,33,2015,2022,3.2053333333333334,1.8086857172727053
FRA,TUR,reciprocal_asymmetry_candidate,105,82,46,2017,2022,3.245561904761905,0.9197142937619771
ITA,GBR,reciprocal_asymmetry_candidate,103,68,58,2013,2021,3.2101165048543687,1.9165533985580923
EST,ITA,reciprocal_asymmetry_candidate,100,73,26,2015,2022,3.24794,1.7384299961477518
EST,GRC,reciprocal_asymmetry_candidate,100,73,33,2015,2022,3.2374799999999997,1.7144499991927296
SWE,POL,reciprocal_asymmetry_candidate,98,81,49,2015,2022,3.246775510204082,1.668091832184974
ITA,UKR,reciprocal_asymmetry_candidate,96,61,48,2014,2022,3.2284479166666666,1.7299374910556555
POL,GRC,reciprocal_asymmetry_candidate,96,56,39,2016,2022,3.251364583333333,1.9474166767419472
HUN,HRV,reciprocal_asymmetry_candidate,95,70,41,2015,2022,3.250178947368421,2.1733684122562407
HRV,GRC,reciprocal_asymmetry_candidate,94,61,38,2015,2022,3.2647021276595747,1.642882975705087
NLD,SWE,reciprocal_asymmetry_candidate,94,80,38,2015,2022,3.2442659574468085,1.5926063753109663
SVN,SWE,reciprocal_asymmetry_candidate,93,64,27,2015,2021,3.2513440860215055,1.65878494718783
PRT,GRC,reciprocal_asymmetry_candidate,93,52,34,2015,2022,3.190559139784946,1.8994301232278987
SVN,UKR,reciprocal_asymmetry_candidate,92,53,25,2015,2022,3.2453043478260866,1.5169456594056734
FIN,GRC,reciprocal_asymmetry_candidate,91,66,38,2015,2021,3.2471648351648352,1.2784835151550207
SRB,HUN,reciprocal_asymmetry_candidate,91,51,29,2015,2021,3.2625054945054943,2.2882417472729277
BGR,GBR,reciprocal_asymmetry_candidate,90,33,23,2015,2020,3.2403,2.7110555469989777
POL,TUR,reciprocal_asymmetry_candidate,90,64,44,2015,2022,3.2493333333333334,2.407399994147838
SVN,GBR,reciprocal_asymmetry_candidate,90,61,36,2015,2021,3.223033333333333,1.9717111048599085
GRC,ESP,reciprocal_asymmetry_candidate,89,72,49,2015,2021,3.2425842696629212,1.8111909996467026
NOR,POL,reciprocal_asymmetry_candidate,87,62,34,2015,2022,3.2672988505747127,1.7725747121476578
BEL,SWE,reciprocal_asymmetry_candidate,82,64,29,2015,2022,3.2889999999999997,2.2050731749978008
GRC,BGR,reciprocal_asymmetry_candidate,80,66,46,2015,2021,3.2816375,1.6831999919144436
ISL,GBR,reciprocal_asymmetry_candidate,77,50,30,2015,2022,3.1883246753246755,1.7890129964556787
POL,ITA,reciprocal_asymmetry_candidate,77,50,37,2016,2022,3.251103896103896,2.0776363680163374
ITA,GRC,reciprocal_asymmetry_candidate,75,60,47,2013,2022,3.2110533333333335,1.7252800061553717
AUT,GBR,reciprocal_asymmetry_candidate,74,55,41,2015,2022,3.178783783783784,1.4169189122794952
SWE,ITA,reciprocal_asymmetry_candidate,74,63,34,2015,2022,3.242905405405405,1.8763918965249449
TUR,BGR,reciprocal_asymmetry_candidate,73,41,35,2015,2022,3.273698630136986,1.5184931465718028
FIN,NOR,reciprocal_asymmetry_candidate,72,60,41,2015,2021,3.2299861111111112,2.284791672291855
UKR,POL,reciprocal_asymmetry_candidate,72,46,35,2015,2022,3.289388888888889,2.298763900400243
FIN,ITA,reciprocal_asymmetry_candidate,70,55,32,2015,2021,3.2343142857142855,1.4556571388351065
ITA,ESP,reciprocal_asymmetry_candidate,70,48,41,2013,2022,3.244542857142857,1.857485715565937
POL,HUN,reciprocal_asymmetry_candidate,68,56,45,2016,2022,3.2566617647058824,2.462691186379422
LVA,GBR,reciprocal_asymmetry_candidate,67,37,23,2015,2022,3.247417910447761,1.913208960485992
AUT,POL,reciprocal_asymmetry_candidate,66,45,36,2015,2022,3.2609848484848483,1.7638636375071877
HUN,SVN,reciprocal_asymmetry_candidate,65,45,33,2015,2022,3.2521846153846155,2.04515383541584
NOR,FIN,reciprocal_asymmetry_candidate,65,52,36,2015,2022,3.2306153846153847,2.8025230979690186
FIN,GBR,reciprocal_asymmetry_candidate,65,38,28,2015,2021,3.1830000000000003,2.135292320068066
ISL,TUR,reciprocal_asymmetry_candidate,65,37,24,2015,2022,3.2347076923076923,1.517646148456977
FRA,GRC,reciprocal_asymmetry_candidate,64,54,32,2017,2022,3.235703125,0.9379218778485665
SRB,BGR,reciprocal_asymmetry_candidate,64,46,32,2015,2021,3.24384375,2.5347656169178663
AUT,SVN,reciprocal_asymmetry_candidate,64,43,29,2015,2022,3.26871875,1.9547187527059577
HUN,BGR,reciprocal_asymmetry_candidate,63,52,31,2015,2022,3.2345873015873017,2.0989206342824867
NLD,NOR,reciprocal_asymmetry_candidate,63,38,21,2015,2022,3.266031746031746,2.0677777797220247
GRC,NLD,reciprocal_asymmetry_candidate,62,43,26,2015,2021,3.2373387096774193,2.037919367513349
ESP,UKR,reciprocal_asymmetry_candidate,62,43,34,2015,2022,3.2088870967741934,1.7511451517141634
EST,HUN,reciprocal_asymmetry_candidate,61,52,20,2015,2022,3.2337704918032784,1.199311477849718
FRA,ESP,reciprocal_asymmetry_candidate,61,54,35,2017,2022,3.230409836065574,1.6889836259003057
SVN,POL,reciprocal_asymmetry_candidate,58,45,23,2015,2022,3.231413793103448,1.5390689702190716
LVA,EST,reciprocal_asymmetry_candidate,58,42,31,2015,2022,3.268293103448276,2.2911551775860377
CZE,NOR,reciprocal_asymmetry_candidate,55,17,8,2015,2022,3.2910727272727276,1.543345465070822
BGR,SRB,reciprocal_asymmetry_candidate,55,40,17,2015,2021,3.277490909090909,1.888800003819845
HUN,SWE,reciprocal_asymmetry_candidate,52,39,24,2015,2022,3.226826923076923,1.1315384621803577
CZE,SWE,reciprocal_asymmetry_candidate,51,38,22,2015,2022,3.223607843137255,1.4584901903472913
BEL,BIH,reciprocal_asymmetry_candidate,50,24,13,2015,2021,3.2752800000000004,1.9142799978982656
BGR,HUN,reciprocal_asymmetry_candidate,50,40,22,2015,2022,3.23404,2.1455200120061635
BEL,NOR,reciprocal_asymmetry_candidate,50,33,14,2015,2021,3.2574,2.4013400042057036
CZE,BGR,reciprocal_asymmetry_candidate,48,31,19,2015,2022,3.2523750000000002,2.8414791554775243
GRC,SWE,reciprocal_asymmetry_candidate,48,43,30,2015,2021,3.2354583333333333,1.8804791773824643
BEL,BGR,reciprocal_asymmetry_candidate,48,34,17,2015,2022,3.2740625,1.5986666641013774
HUN,CZE,reciprocal_asymmetry_candidate,47,42,29,2015,2022,3.2604042553191492,1.7727234094066824
GRC,AUT,reciprocal_asymmetry_candidate,47,41,31,2015,2021,3.282042553191489,1.493276591313646
NLD,BGR,reciprocal_asymmetry_candidate,46,37,26,2015,2021,3.2639782608695653,2.0004348039991506
PRT,ITA,reciprocal_asymmetry_candidate,46,39,20,2015,2022,3.176695652173913,1.7248043493651177
HRV,EST,reciprocal_asymmetry_candidate,46,20,13,2017,2021,3.2811086956521742,3.137978275185046
SRB,AUT,reciprocal_asymmetry_candidate,45,31,22,2015,2021,3.2417555555555553,1.9882222105748952
HUN,ESP,reciprocal_asymmetry_candidate,44,37,26,2015,2021,3.2349772727272725,1.4024090854959055
AUT,SRB,reciprocal_asymmetry_candidate,44,36,28,2015,2022,3.2557954545454546,1.7029545394365082
AUT,BIH,reciprocal_asymmetry_candidate,44,32,23,2015,2022,3.2936363636363635,2.2817045547576114
GRC,HUN,reciprocal_asymmetry_candidate,44,38,25,2015,2021,3.244818181818182,1.0898408987559378
SRB,BIH,reciprocal_asymmetry_candidate,43,30,26,2015,2022,3.2738372093023256,2.7818604891816543
HRV,POL,reciprocal_asymmetry_candidate,43,35,22,2015,2022,3.2238837209302327,2.2871627980020155
NOR,BIH,reciprocal_asymmetry_candidate,43,28,21,2015,2022,3.2473255813953488,2.3761162861835126
ISL,FIN,reciprocal_asymmetry_candidate,42,35,18,2015,2022,3.212928571428572,2.1262381034237996
LVA,POL,reciprocal_asymmetry_candidate,42,30,18,2016,2022,3.240714285714286,1.858166674418109
FIN,AUT,reciprocal_asymmetry_candidate,41,39,24,2015,2021,3.2012439024390247,2.124341457718756
FIN,POL,reciprocal_asymmetry_candidate,41,30,22,2016,2021,3.281780487804878,1.046292685128453
SRB,GRC,reciprocal_asymmetry_candidate,41,34,21,2015,2021,3.253170731707317,2.128146334210547
PRT,ESP,reciprocal_asymmetry_candidate,40,30,22,2015,2022,3.1832000000000003,2.1463750079623423
ITA,AUT,reciprocal_asymmetry_candidate,40,33,29,2013,2021,3.2265,1.6741999824531377
ESP,GBR,reciprocal_asymmetry_candidate,39,34,21,2015,2022,3.236051282051282,1.8080769337904758
BGR,ITA,reciprocal_asymmetry_candidate,38,24,13,2015,2021,3.2525,1.8966052683168335
BEL,SRB,reciprocal_asymmetry_candidate,37,26,17,2015,2021,3.2744054054054055,1.6459459561753917
FIN,UKR,reciprocal_asymmetry_candidate,37,35,26,2015,2021,3.2163243243243245,1.8314864889190003
GBR,BIH,reciprocal_asymmetry_candidate,37,25,20,2015,2022,3.2674324324324324,2.359378378448152
EST,NOR,reciprocal_asymmetry_candidate,37,30,17,2015,2022,3.2543513513513513,1.4097567644675035
CZE,SVN,reciprocal_asymmetry_candidate,37,24,14,2015,2022,3.2713783783783783,2.566270247957594
SWE,NLD,reciprocal_asymmetry_candidate,37,34,21,2015,2022,3.2253783783783785,2.356540546223924
GRC,BEL,reciprocal_asymmetry_candidate,36,30,24,2015,2021,3.228833333333333,1.2504166753755674
SVN,CZE,reciprocal_asymmetry_candidate,36,32,17,2015,2022,3.2885833333333334,2.1211388865485787
CZE,SRB,reciprocal_asymmetry_candidate,36,26,18,2015,2022,3.2542222222222223,2.2321110999004707
SWE,AUT,reciprocal_asymmetry_candidate,36,34,16,2015,2021,3.2321666666666666,1.9524722291777532
POL,CZE,reciprocal_asymmetry_candidate,35,31,26,2016,2022,3.287657142857143,2.1954285773847784
FIN,HUN,reciprocal_asymmetry_candidate,35,30,19,2015,2021,3.2382285714285715,1.5392285738672529
HRV,BGR,reciprocal_asymmetry_candidate,34,34,18,2015,2020,3.2360588235294117,2.076235292972449
GRC,PRT,reciprocal_asymmetry_candidate,33,28,19,2015,2021,3.2553636363636365,2.157030308788473
POL,NLD,reciprocal_asymmetry_candidate,33,27,24,2016,2022,3.257878787878788,2.1085757500294484
ESP,HUN,reciprocal_asymmetry_candidate,33,28,24,2015,2022,3.226272727272727,0.8520909057873668
FIN,EST,reciprocal_asymmetry_candidate,33,23,18,2015,2021,3.2483939393939396,2.114848477935249
TUR,UKR,reciprocal_asymmetry_candidate,33,26,22,2016,2022,3.241090909090909,1.3936363603129531
AUT,CZE,reciprocal_asymmetry_candidate,33,29,22,2015,2022,3.314787878787879,2.588090902702375
GRC,SRB,reciprocal_asymmetry_candidate,32,23,19,2015,2021,3.26503125,2.7028437592089176
BGR,POL,reciprocal_asymmetry_candidate,32,25,13,2015,2022,3.234125,2.236968751763925
HRV,ESP,reciprocal_asymmetry_candidate,32,21,14,2015,2022,3.223875,2.3800312852545176
NOR,NLD,reciprocal_asymmetry_candidate,32,23,20,2015,2020,3.22659375,1.6498437533155084
BEL,CZE,reciprocal_asymmetry_candidate,32,29,12,2015,2022,3.27084375,1.768656260566786
BEL,HRV,reciprocal_asymmetry_candidate,31,25,14,2015,2022,3.2481612903225807,1.3908387095997892
SRB,TUR,reciprocal_asymmetry_candidate,31,23,21,2015,2021,3.21658064516129,2.264612915264743
NOR,HUN,reciprocal_asymmetry_candidate,30,27,17,2015,2022,3.2253666666666665,1.4690666643281778
BGR,AUT,reciprocal_asymmetry_candidate,30,24,14,2015,2021,3.240533333333333,2.032599999134739
SVN,NLD,reciprocal_asymmetry_candidate,30,25,18,2015,2021,3.2374,2.0609666839241982
BEL,PRT,reciprocal_asymmetry_candidate,29,26,21,2015,2022,3.2441379310344827,2.071310326424909
FRA,HUN,reciprocal_asymmetry_candidate,29,24,19,2017,2022,3.2181034482758624,0.886965526428459
AUT,BGR,reciprocal_asymmetry_candidate,29,27,21,2015,2022,3.2344137931034482,1.71658620191738
SVN,BEL,reciprocal_asymmetry_candidate,29,22,18,2015,2021,3.2322413793103446,1.7748275979839523
HRV,CZE,reciprocal_asymmetry_candidate,29,22,16,2015,2020,3.2883793103448276,2.692206898896859
ITA,HUN,reciprocal_asymmetry_candidate,29,25,22,2014,2022,3.216793103448276,0.8535172471070084
POL,LVA,reciprocal_asymmetry_candidate,28,24,19,2016,2022,3.239142857142857,2.4734285654766217
SRB,SVN,reciprocal_asymmetry_candidate,28,18,13,2015,2021,3.242035714285714,2.5290000226647993
TUR,GBR,reciprocal_asymmetry_candidate,28,24,21,2015,2022,3.211642857142857,1.7012857225324427
ITA,POL,reciprocal_asymmetry_candidate,28,23,19,2013,2022,3.224214285714286,1.5463214502337255
HRV,SWE,reciprocal_asymmetry_candidate,27,22,15,2015,2022,3.2114814814814814,1.7074444276039247
FRA,POL,reciprocal_asymmetry_candidate,27,25,22,2018,2022,3.2092222222222224,1.166962967702636
SVN,ESP,reciprocal_asymmetry_candidate,26,21,15,2015,2021,3.233769230769231,1.3980384642401567
PRT,HUN,reciprocal_asymmetry_candidate,26,18,14,2015,2022,3.1992307692307693,0.7199615403436698
GRC,POL,reciprocal_asymmetry_candidate,26,22,17,2015,2021,3.260423076923077,1.6759230867028236
ISL,POL,reciprocal_asymmetry_candidate,25,21,14,2015,2022,3.24296,1.6776399952173233
