country,target_iso3,analysis_scope,n_mentions,n_speeches,n_speakers,first_year,last_year,mean_concreteness,mean_sentiment
ISL,ITA,reciprocal_asymmetry_candidate,105,63,27,2015,2022,3.2457714285714285,1.121371429449036
TUR,RUS,external_target_salience,105,83,62,2015,2022,3.234990476190476,1.0577523773979574
EST,GBR,reciprocal_asymmetry_candidate,105,63,33,2015,2022,3.2053333333333334,1.8086857172727053
FRA,TUR,reciprocal_asymmetry_candidate,105,82,46,2017,2022,3.245561904761905,0.9197142937619771
SWE,JOR,external_target_salience,105,80,25,2015,2022,3.2735809523809523,2.005276181442397
ITA,GBR,reciprocal_asymmetry_candidate,103,68,58,2013,2021,3.2101165048543687,1.9165533985580923
SWE,LBN,external_target_salience,103,86,32,2015,2022,3.2707669902912624,1.8147961121522687
HUN,XKX,external_target_salience,103,59,28,2015,2021,3.2473106796116507,1.1530097134013488
CZE,AFG,external_target_salience,103,61,25,2015,2022,3.242194174757282,1.8882718485174248
AUT,USA,external_target_salience,102,82,59,2015,2022,3.2127058823529415,1.1368823573358504
POL,USA,external_target_salience,102,66,52,2016,2022,3.2827254901960785,2.7753529443825578
ESP,SYR,external_target_salience,102,73,50,2015,2022,3.2226764705882354,1.082901964238023
EST,BLR,external_target_salience,101,69,37,2015,2022,3.290069306930693,1.4110099018394653
CZE,LBY,external_target_salience,101,53,24,2015,2022,3.237663366336634,1.1837227780033033
HRV,IRL,external_target_salience,100,57,33,2015,2022,3.24308,1.5596799900941551
EST,ITA,reciprocal_asymmetry_candidate,100,73,26,2015,2022,3.24794,1.7384299961477518
HRV,AFG,external_target_salience,100,65,34,2015,2022,3.25389,1.1545200052857398
EST,GRC,reciprocal_asymmetry_candidate,100,73,33,2015,2022,3.2374799999999997,1.7144499991927296
SWE,POL,reciprocal_asymmetry_candidate,98,81,49,2015,2022,3.246775510204082,1.668091832184974
LVA,BLR,external_target_salience,98,60,32,2015,2022,3.276387755102041,1.7775306108654763
ITA,UKR,reciprocal_asymmetry_candidate,96,61,48,2014,2022,3.2284479166666666,1.7299374910556555
TUR,AFG,external_target_salience,96,65,54,2016,2022,3.2450104166666667,1.0678124988674729
POL,GRC,reciprocal_asymmetry_candidate,96,56,39,2016,2022,3.251364583333333,1.9474166767419472
EST,LTU,external_target_salience,95,68,34,2015,2022,3.268778947368421,1.7320736852523528
HUN,HRV,reciprocal_asymmetry_candidate,95,70,41,2015,2022,3.250178947368421,2.1733684122562407
ITA,TUN,external_target_salience,94,72,54,2013,2022,3.221127659574468,1.9913617120857567
SWE,MAR,external_target_salience,94,47,14,2015,2022,3.2797978723404255,2.134436180299901
HRV,GRC,reciprocal_asymmetry_candidate,94,61,38,2015,2022,3.2647021276595747,1.642882975705087
NLD,SWE,reciprocal_asymmetry_candidate,94,80,38,2015,2022,3.2442659574468085,1.5926063753109663
SVN,SWE,reciprocal_asymmetry_candidate,93,64,27,2015,2021,3.2513440860215055,1.65878494718783
HUN,IRQ,external_target_salience,93,71,38,2015,2021,3.2140752688172043,2.2204946330598285
PRT,GRC,reciprocal_asymmetry_candidate,93,52,34,2015,2022,3.190559139784946,1.8994301232278987
SWE,IRN,external_target_salience,92,61,39,2015,2022,3.280521739130435,1.2292499994838852
SVN,AFG,external_target_salience,92,71,36,2015,2022,3.2441521739130432,1.622489121924762
SVN,UKR,reciprocal_asymmetry_candidate,92,53,25,2015,2022,3.2453043478260866,1.5169456594056734
SVN,IRQ,external_target_salience,92,67,30,2015,2022,3.2487391304347826,1.1787173906442425
FIN,GRC,reciprocal_asymmetry_candidate,91,66,38,2015,2021,3.2471648351648352,1.2784835151550207
HUN,SVK,external_target_salience,91,75,42,2015,2022,3.2272417582417585,2.0750879136906875
SRB,HUN,reciprocal_asymmetry_candidate,91,51,29,2015,2021,3.2625054945054943,2.2882417472729277
BGR,GBR,reciprocal_asymmetry_candidate,90,33,23,2015,2020,3.2403,2.7110555469989777
SRB,DEU,external_target_salience,90,66,39,2015,2021,3.228933333333333,1.8904555569351134
POL,TUR,reciprocal_asymmetry_candidate,90,64,44,2015,2022,3.2493333333333334,2.407399994147838
SVN,GBR,reciprocal_asymmetry_candidate,90,61,36,2015,2021,3.223033333333333,1.9717111048599085
TUR,IRN,external_target_salience,89,65,51,2015,2022,3.2541573033707865,1.1395730272594713
NLD,MLT,external_target_salience,89,63,27,2015,2021,3.2763820224719105,2.160977529110701
GRC,ESP,reciprocal_asymmetry_candidate,89,72,49,2015,2021,3.2425842696629212,1.8111909996467026
NOR,POL,reciprocal_asymmetry_candidate,87,62,34,2015,2022,3.2672988505747127,1.7725747121476578
BGR,SYR,external_target_salience,87,57,38,2015,2022,3.262080459770115,1.6554367794794427
BGR,MKD,external_target_salience,87,53,25,2015,2022,3.2308275862068965,1.3314597716009051
GRC,LBY,external_target_salience,87,73,40,2015,2021,3.2359310344827588,0.8938275837906818
FIN,USA,external_target_salience,86,70,39,2015,2021,3.2469651162790694,1.8517093059855925
NLD,AUS,external_target_salience,86,61,35,2015,2021,3.2975348837209304,1.7448488394838086
GRC,PAK,external_target_salience,85,61,40,2015,2021,3.279070588235294,1.011588240458685
NOR,IRQ,external_target_salience,84,65,39,2015,2021,3.2336309523809526,1.72350000080076
ESP,LBY,external_target_salience,83,57,40,2015,2022,3.230385542168675,1.2951566378574773
GRC,RUS,external_target_salience,83,69,45,2015,2021,3.2191445783132533,1.4143012008035039
NLD,DZA,external_target_salience,82,66,28,2015,2022,3.253329268292683,1.6799999981119138
BEL,RWA,external_target_salience,82,49,25,2015,2022,3.2657804878048777,1.7417561054888477
BEL,SWE,reciprocal_asymmetry_candidate,82,64,29,2015,2022,3.2889999999999997,2.2050731749978008
TUR,LBY,external_target_salience,82,47,37,2016,2022,3.2341951219512195,1.6995487738877717
BGR,AFG,external_target_salience,80,49,33,2015,2022,3.2452125,1.57229999297997
GRC,BGR,reciprocal_asymmetry_candidate,80,66,46,2015,2021,3.2816375,1.6831999919144436
AUT,CHE,external_target_salience,80,51,31,2015,2022,3.2707625,2.190424996614456
NLD,ERI,external_target_salience,79,53,31,2015,2021,3.256443037974684,1.3668354415405495
ISL,GBR,reciprocal_asymmetry_candidate,77,50,30,2015,2022,3.1883246753246755,1.7890129964556787
HRV,CAN,external_target_salience,77,52,21,2015,2022,3.223883116883117,2.84072727326594
POL,ITA,reciprocal_asymmetry_candidate,77,50,37,2016,2022,3.251103896103896,2.0776363680163374
BEL,DZA,external_target_salience,76,52,21,2015,2022,3.2521447368421055,1.817144732432146
