country,target_iso3,source_year,analysis_scope,n_mentions,n_speeches,n_speakers,mean_concreteness,mean_sentiment
SWE,AFG,2021,external_target_salience,102,51,24,3.2523333333333335,1.665450977344139
SWE,AFG,2022,external_target_salience,24,11,7,3.261125,0.9815833317892005
TUR,AFG,2016,external_target_salience,24,18,15,3.2293333333333334,1.1289166531835992
TUR,AFG,2017,external_target_salience,9,4,4,3.2775555555555553,1.5368888709280226
TUR,AFG,2018,external_target_salience,15,6,6,3.2487333333333335,0.8690666737655799
TUR,AFG,2019,external_target_salience,16,12,12,3.2374375,1.2604375230148435
TUR,AFG,2020,external_target_salience,12,9,9,3.2900833333333335,1.3656666750709217
TUR,AFG,2021,external_target_salience,9,7,7,3.2503333333333333,1.0789999797836773
TUR,AFG,2022,external_target_salience,11,9,8,3.205,0.2074545438994061
UKR,AFG,2021,external_target_salience,4,2,2,3.299,3.7760000228881836
BEL,AGO,2016,external_target_salience,1,1,1,3.183,2.6470000743865967
BEL,AGO,2017,external_target_salience,3,2,2,3.297,0.9913332959016165
BEL,AGO,2020,external_target_salience,1,1,1,3.278,2.694999933242798
HUN,AGO,2017,external_target_salience,1,1,1,3.175,3.187000036239624
HUN,AGO,2018,external_target_salience,1,1,1,3.3,2.678999900817871
NLD,AGO,2015,external_target_salience,1,1,1,3.139,0.24699999392032623
NLD,AGO,2017,external_target_salience,1,1,1,3.348,2.993000030517578
PRT,AGO,2018,external_target_salience,2,1,1,3.1965000000000003,4.0665000677108765
PRT,AGO,2020,external_target_salience,1,1,1,3.211,0.3880000114440918
PRT,AGO,2022,external_target_salience,3,3,3,3.23,0.8653333236773809
SWE,AGO,2015,external_target_salience,1,1,1,3.26,0.35600000619888306
GBR,AIA,2021,external_target_salience,3,1,1,3.252333333333333,3.3886666297912598
AUT,ALB,2015,external_target_salience,2,2,2,3.252,2.600499927997589
AUT,ALB,2016,external_target_salience,2,2,2,3.218,1.8614999949932098
AUT,ALB,2017,external_target_salience,7,1,1,3.323857142857143,1.368857133601393
AUT,ALB,2018,external_target_salience,2,1,1,3.219,1.7760000228881836
AUT,ALB,2022,external_target_salience,3,3,3,3.2336666666666667,2.7813333670298257
BEL,ALB,2015,external_target_salience,17,7,4,3.2586470588235295,1.9772941347430735
BEL,ALB,2016,external_target_salience,3,3,3,3.266666666666667,2.092666665712992
BEL,ALB,2017,external_target_salience,13,3,2,3.265923076923077,0.7480000048302687
BEL,ALB,2018,external_target_salience,17,9,7,3.2965294117647055,0.995823523372083
BEL,ALB,2020,external_target_salience,2,2,2,3.278,1.8170000314712524
BEL,ALB,2021,external_target_salience,12,7,3,3.230916666666667,1.5869999900460243
BEL,ALB,2022,external_target_salience,3,2,2,3.2086666666666672,3.6070000330607095
BGR,ALB,2015,external_target_salience,5,5,2,3.3118000000000003,1.3896000042557717
BGR,ALB,2016,external_target_salience,3,2,2,3.106333333333333,0.32099999859929085
BGR,ALB,2018,external_target_salience,3,3,2,3.1686666666666667,1.770000013212363
BGR,ALB,2020,external_target_salience,6,5,2,3.1971666666666665,2.0533333644270897
BGR,ALB,2021,external_target_salience,3,3,3,3.189666666666667,2.883000055948893
BGR,ALB,2022,external_target_salience,1,1,1,3.239,1.0420000553131104
BIH,ALB,2016,external_target_salience,4,3,3,3.2435,1.833999978378415
BIH,ALB,2018,external_target_salience,5,5,4,3.222,0.9328000165522099
BIH,ALB,2019,external_target_salience,1,1,1,3.193,2.6640000343322754
BIH,ALB,2022,external_target_salience,1,1,1,3.192,4.255000114440918
CZE,ALB,2015,external_target_salience,1,1,1,3.243,3.3959999084472656
CZE,ALB,2016,external_target_salience,2,2,1,3.2359999999999998,4.346499919891357
CZE,ALB,2019,external_target_salience,2,2,2,3.2075,0.16100000217556953
ESP,ALB,2018,external_target_salience,1,1,1,3.182,3.0989999771118164
FIN,ALB,2015,external_target_salience,3,3,3,3.2093333333333334,1.9746666351954143
FIN,ALB,2016,external_target_salience,1,1,1,3.211,1.3270000219345093
FRA,ALB,2017,external_target_salience,3,3,1,3.1943333333333332,2.771666685740153
FRA,ALB,2018,external_target_salience,17,17,11,3.251058823529412,1.490705900332507
FRA,ALB,2019,external_target_salience,7,7,6,3.202428571428572,1.0465714324797903
FRA,ALB,2020,external_target_salience,6,4,3,3.2563333333333335,1.5073333382606506
FRA,ALB,2021,external_target_salience,1,1,1,3.159,0.5019999742507935
FRA,ALB,2022,external_target_salience,1,1,1,3.233,1.781000018119812
GRC,ALB,2015,external_target_salience,15,12,11,3.2485333333333335,1.7124000142018
GRC,ALB,2016,external_target_salience,10,10,9,3.2131999999999996,1.5464999936521053
GRC,ALB,2017,external_target_salience,4,4,4,3.22725,1.1005000099539757
GRC,ALB,2019,external_target_salience,6,6,6,3.189833333333333,1.1675000141064327
GRC,ALB,2020,external_target_salience,21,19,14,3.2362380952380954,1.9153333377270472
GRC,ALB,2021,external_target_salience,13,10,10,3.2348461538461537,3.082230763366589
HRV,ALB,2015,external_target_salience,3,2,2,3.264,0.07266666616002719
